Year,temp_diff,temp_upper,temp_lower
1850,-0.0607,0.0997,-0.2090
1851,0.1236,0.2719,-0.0494
1852,0.1276,0.2768,-0.0471
1853,0.0866,0.2217,-0.0657
1854,0.0655,0.1860,-0.0681
1855,0.0601,0.1822,-0.0741
1856,0.0366,0.1659,-0.1000
1857,-0.1102,0.0350,-0.2334
1858,-0.0318,0.1047,-0.1619
1859,0.0757,0.1965,-0.0602
1860,-0.0332,0.1041,-0.1638
1861,-0.0721,0.0862,-0.2160
1862,-0.1794,-0.0109,-0.3120
1863,0.0128,0.1823,-0.1593
1864,-0.1085,0.0667,-0.2620
1865,0.0245,0.1948,-0.1507
1866,0.0157,0.1766,-0.1483
1867,0.0000,0.1764,-0.1764
1868,0.0052,0.1645,-0.1552
1869,0.0404,0.1802,-0.1075
1870,0.0291,0.1529,-0.1005
1871,-0.0116,0.1206,-0.1414
1872,0.0289,0.1475,-0.0956
1873,0.0157,0.1322,-0.1040
1874,-0.0163,0.1059,-0.1351
1875,-0.0186,0.1078,-0.1413
1876,-0.0671,0.0645,-0.1853
1877,0.2559,0.3461,0.1145
1878,0.3457,0.4190,0.2032
1879,0.0534,0.1654,-0.0694
1880,0.0412,0.1489,-0.0748
1881,0.1247,0.2254,-0.0008
1882,0.0615,0.1675,-0.0568
1883,0.0105,0.1124,-0.0934
1884,-0.1353,-0.0225,-0.2211
1885,-0.1141,-0.0020,-0.2035
1886,-0.0639,0.0340,-0.1490
1887,-0.1418,-0.0216,-0.2336
1888,-0.0224,0.0824,-0.1227
1889,0.1071,0.2065,-0.0137
1890,-0.1499,-0.0219,-0.2479
1891,-0.0443,0.0826,-0.1623
1892,-0.1506,-0.0124,-0.2586
1893,-0.1376,-0.0006,-0.2471
1894,-0.1268,0.0135,-0.2417
1895,-0.0918,0.0374,-0.2025
1896,0.0730,0.1857,-0.0544
1897,0.0972,0.2123,-0.0374
1898,-0.1288,0.0028,-0.2346
1899,0.0016,0.1193,-0.1165
1900,0.1225,0.2290,-0.0085
1901,0.0636,0.1786,-0.0641
1902,-0.0820,0.0472,-0.1947
1903,-0.1763,-0.0464,-0.2710
1904,-0.2405,-0.1018,-0.3312
1905,-0.0508,0.0647,-0.1561
1906,0.0379,0.1473,-0.0791
1907,-0.1471,-0.0281,-0.2367
1908,-0.1568,-0.0365,-0.2458
1909,-0.1787,-0.0635,-0.2582
1910,-0.1739,-0.0534,-0.2596
1911,-0.1821,-0.0631,-0.2647
1912,-0.1185,-0.0142,-0.1992
1913,-0.1100,0.0002,-0.1982
1914,0.0946,0.1819,-0.0117
1915,0.1653,0.2546,0.0430
1916,-0.0630,0.0561,-0.1695
1917,-0.1858,-0.0463,-0.2882
1918,-0.0674,0.0671,-0.1884
1919,0.0317,0.1531,-0.0960
1920,0.0586,0.1722,-0.0667
1921,0.1165,0.2166,-0.0068
1922,0.0180,0.1158,-0.0834
1923,0.0393,0.1329,-0.0622
1924,0.0452,0.1384,-0.0571
1925,0.0749,0.1689,-0.0342
1926,0.2344,0.3085,0.1135
1927,0.1279,0.2079,0.0223
1928,0.1505,0.2353,0.0356
1929,-0.0354,0.0675,-0.1313
1930,0.1802,0.2644,0.0599
1931,0.2536,0.3266,0.1299
1932,0.2115,0.2862,0.0945
1933,0.0346,0.1255,-0.0631
1934,0.1827,0.2541,0.0747
1935,0.1509,0.2235,0.0481
1936,0.1875,0.2533,0.0841
1937,0.3378,0.3945,0.2135
1938,0.3448,0.3986,0.2220
1939,0.3162,0.3799,0.1893
1940,0.4329,0.4957,0.2835
1941,0.3951,0.5360,0.1753
1942,0.3584,0.4995,0.1456
1943,0.3634,0.5125,0.1417
1944,0.5011,0.6297,0.2722
1945,0.4001,0.5404,0.1797
1946,0.2382,0.3468,0.0819
1947,0.2658,0.3657,0.1127
1948,0.2323,0.3301,0.0881
