Entity,Year,AnnualCO2,logCO2
Afghanistan,1850,7435743.5000,6.8713
Afghanistan,1851,7499858.5000,6.8751
Afghanistan,1852,7560495.5000,6.8786
Afghanistan,1853,7619898.0000,6.8819
Afghanistan,1854,7678120.0000,6.8853
Afghanistan,1855,7735004.5000,6.8885
Afghanistan,1856,7790375.5000,6.8916
Afghanistan,1857,7845360.0000,6.8946
Afghanistan,1858,7898627.5000,6.8976
Afghanistan,1859,7950452.5000,6.9004
Afghanistan,1860,8013327.0000,6.9038
Afghanistan,1861,8069956.0000,6.9069
Afghanistan,1862,8121903.5000,6.9097
Afghanistan,1863,8172425.0000,6.9124
Afghanistan,1864,8221971.0000,6.9150
Afghanistan,1865,8270002.0000,6.9175
Afghanistan,1866,8317355.0000,6.9200
Afghanistan,1867,8364141.5000,6.9224
Afghanistan,1868,8410427.0000,6.9248
Afghanistan,1869,8456380.0000,6.9272
Afghanistan,1870,8708764.0000,6.9400
Afghanistan,1871,8901338.0000,6.9495
Afghanistan,1872,9051543.0000,6.9567
Afghanistan,1873,9180037.0000,6.9628
Afghanistan,1874,9301177.0000,6.9685
Afghanistan,1875,9416769.0000,6.9739
Afghanistan,1876,9527495.0000,6.9790
Afghanistan,1877,9633165.0000,6.9838
Afghanistan,1878,9732793.0000,6.9882
Afghanistan,1879,9825263.0000,6.9923
Afghanistan,1880,10077914.0000,7.0034
Afghanistan,1881,10284715.0000,7.0122
Afghanistan,1882,10444752.0000,7.0189
Afghanistan,1883,10582964.0000,7.0246
Afghanistan,1884,10710055.0000,7.0298
Afghanistan,1885,10823694.0000,7.0344
Afghanistan,1886,10931388.0000,7.0387
Afghanistan,1887,11034973.0000,7.0428
Afghanistan,1888,11134759.0000,7.0467
Afghanistan,1889,11231428.0000,7.0504
Afghanistan,1890,11400705.0000,7.0569
Afghanistan,1891,11525183.0000,7.0616
Afghanistan,1892,11631145.0000,7.0656
Afghanistan,1893,11730896.0000,7.0693
Afghanistan,1894,11827020.0000,7.0729
Afghanistan,1895,11914074.0000,7.0761
Afghanistan,1896,11999387.0000,7.0792
Afghanistan,1897,12083254.0000,7.0822
Afghanistan,1898,12165306.0000,7.0851
Afghanistan,1899,12245885.0000,7.0880
Afghanistan,1900,12366715.0000,7.0923
Afghanistan,1901,12477495.0000,7.0961
Afghanistan,1902,12568339.0000,7.0993
Afghanistan,1903,12614362.0000,7.1009
Afghanistan,1904,12708866.0000,7.1041
Afghanistan,1905,12918615.0000,7.1112
Afghanistan,1906,13125582.0000,7.1181
Afghanistan,1907,13253163.0000,7.1223
Afghanistan,1908,13396722.0000,7.1270
Afghanistan,1909,13518025.0000,7.1309
Afghanistan,1910,13732737.0000,7.1378
Afghanistan,1911,13843723.0000,7.1413
Afghanistan,1912,13934882.0000,7.1441
Afghanistan,1913,13973987.0000,7.1453
Afghanistan,1914,14042644.0000,7.1474
Afghanistan,1915,14070234.0000,7.1483
Afghanistan,1916,14016924.0000,7.1467
Afghanistan,1917,14041820.0000,7.1474
Afghanistan,1918,14041987.0000,7.1474
Afghanistan,1919,14054945.0000,7.1478
Afghanistan,1920,13857591.0000,7.1417
Afghanistan,1921,13907986.0000,7.1433
Afghanistan,1922,13989575.0000,7.1458
Afghanistan,1923,14021791.0000,7.1468
Afghanistan,1924,14127364.0000,7.1501
Afghanistan,1925,14196669.0000,7.1522
Afghanistan,1926,14292252.0000,7.1551
Afghanistan,1927,14382129.0000,7.1578
Afghanistan,1928,14464453.0000,7.1603
Afghanistan,1929,14603225.0000,7.1644
Afghanistan,1930,14600618.0000,7.1644
Afghanistan,1931,14713550.0000,7.1677
Afghanistan,1932,14807011.0000,7.1705
Afghanistan,1933,14935989.0000,7.1742
Afghanistan,1934,15018755.0000,7.1766
Afghanistan,1935,15150513.0000,7.1804
Afghanistan,1936,15331907.0000,7.1856
Afghanistan,1937,15464997.0000,7.1893
Afghanistan,1938,15669297.0000,7.1950
Afghanistan,1939,15842255.0000,7.1998
Afghanistan,1940,16025580.0000,7.2048
Afghanistan,1941,16266986.0000,7.2113
Afghanistan,1942,16465409.0000,7.2166
Afghanistan,1943,16697206.0000,7.2226
Afghanistan,1944,17032754.0000,7.2313
Afghanistan,1945,17321862.0000,7.2386
Afghanistan,1946,17683542.0000,7.2476
Afghanistan,1947,18081362.0000,7.2572
Afghanistan,1948,18180024.0000,7.2596
Afghanistan,1949,18287914.0000,7.2622
Afghanistan,1950,19447178.0000,7.2889
Afghanistan,1951,20457612.0000,7.3109
Afghanistan,1952,21355526.0000,7.3295
Afghanistan,1953,22361008.0000,7.3495
Afghanistan,1954,23255826.0000,7.3665
Afghanistan,1955,24422820.0000,7.3878
Afghanistan,1956,25502322.0000,7.4066
Afghanistan,1957,26746322.0000,7.4273
Afghanistan,1958,28018730.0000,7.4474
Afghanistan,1959,29051754.0000,7.4632
Afghanistan,1960,28796224.0000,7.4593
Afghanistan,1961,26206940.0000,7.4184
Afghanistan,1962,25670960.0000,7.4094
Afghanistan,1963,25746676.0000,7.4107
Afghanistan,1964,24624578.0000,7.3914
Afghanistan,1965,25369764.0000,7.4043
Afghanistan,1966,25136322.0000,7.4003
Afghanistan,1967,24592972.0000,7.3908
Afghanistan,1968,24490778.0000,7.3890
Afghanistan,1969,23201506.0000,7.3655
Afghanistan,1970,24119564.0000,7.3824
Afghanistan,1971,23612348.0000,7.3731
Afghanistan,1972,20492942.0000,7.3116
Afghanistan,1973,20667886.0000,7.3153
Afghanistan,1974,21276986.0000,7.3279
Afghanistan,1975,21901196.0000,7.3405
Afghanistan,1976,21623994.0000,7.3349
Afghanistan,1977,21516812.0000,7.3328
Afghanistan,1978,20886604.0000,7.3199
Afghanistan,1979,20563752.0000,7.3131
Afghanistan,1980,20067964.0000,7.3025
Afghanistan,1981,20145368.0000,7.3042
Afghanistan,1982,19829986.0000,7.2973
Afghanistan,1983,19464910.0000,7.2893
Afghanistan,1984,18387200.0000,7.2645
Afghanistan,1985,17890342.0000,7.2526
Afghanistan,1986,15693340.0000,7.1957
Afghanistan,1987,15698860.0000,7.1959
Afghanistan,1988,15687946.0000,7.1956
Afghanistan,1989,14935822.0000,7.1742
Afghanistan,1990,13891684.0000,7.1428
Afghanistan,1991,14177515.0000,7.1516
Afghanistan,1992,12514042.0000,7.0974
Afghanistan,1993,11803789.0000,7.0720
Afghanistan,1994,12282003.0000,7.0893
Afghanistan,1995,13318770.0000,7.1245
Afghanistan,1996,15723104.0000,7.1965
Afghanistan,1997,18583560.0000,7.2691
Afghanistan,1998,17580540.0000,7.2450
Afghanistan,1999,19207622.0000,7.2835
Afghanistan,2000,16954712.0000,7.2293
Afghanistan,2001,15772437.0000,7.1979
Afghanistan,2002,20735294.0000,7.3167
Afghanistan,2003,21422782.0000,7.3309
Afghanistan,2004,20056680.0000,7.3023
Afghanistan,2005,20766370.0000,7.3174
Afghanistan,2006,21007200.0000,7.3224
Afghanistan,2007,21890054.0000,7.3402
Afghanistan,2008,24753586.0000,7.3936
Afghanistan,2009,27461910.0000,7.4387
Afghanistan,2010,31580838.0000,7.4994
Afghanistan,2011,35633880.0000,7.5519
Afghanistan,2012,33621660.0000,7.5266
Afghanistan,2013,32971018.0000,7.5181
Afghanistan,2014,33680890.0000,7.5274
Afghanistan,2015,33568844.0000,7.5259
Afghanistan,2016,33088200.0000,7.5197
Afghanistan,2017,36573804.0000,7.5632
Afghanistan,2018,36747790.0000,7.5652
Afghanistan,2019,39145256.0000,7.5927
Afghanistan,2020,37833400.0000,7.5779
Afghanistan,2021,38313156.0000,7.5833
Afghanistan,2022,39485036.0000,7.5964
Afghanistan,2023,40081420.0000,7.6029
Africa,1850,305593380.0000,8.4851
Africa,1851,335429380.0000,8.5256
Africa,1852,350851400.0000,8.5451
Africa,1853,346018300.0000,8.5391
Africa,1854,362941900.0000,8.5598
Africa,1855,359184700.0000,8.5553
Africa,1856,368971230.0000,8.5670
Africa,1857,376343900.0000,8.5756
Africa,1858,376302050.0000,8.5755
Africa,1859,418914500.0000,8.6221
Africa,1860,296853250.0000,8.4725
Africa,1861,250998220.0000,8.3997
Africa,1862,232798370.0000,8.3670
Africa,1863,250648880.0000,8.3991
