Year,AnnualCO2,logCO2,AnnualCO2_err,logCO2_err
1850,4219061200.0000,9.6252,573135560.6909,0.0590
1851,4409311000.0000,9.6444,349720904.4606,0.0344
1852,4465078300.0000,9.6498,475084133.0172,0.0462
1853,4532813300.0000,9.6564,230450630.3053,0.0221
1854,4594583600.0000,9.6622,254178713.4259,0.0240
1855,4572071400.0000,9.6601,671233654.5530,0.0638
1856,4690924500.0000,9.6713,390828878.6797,0.0362
1857,4683661000.0000,9.6706,322245773.4683,0.0299
1858,4718894600.0000,9.6738,243778144.6066,0.0224
1859,4810028000.0000,9.6821,452864611.5362,0.0409
1860,4593481700.0000,9.6621,290751952.7204,0.0275
1861,4605667300.0000,9.6633,608415733.7172,0.0574
1862,4592632300.0000,9.6621,446600596.0267,0.0422
1863,4594464300.0000,9.6622,577288909.1428,0.0546
1864,4547105300.0000,9.6577,413496419.5392,0.0395
1865,4535310300.0000,9.6566,216928239.3774,0.0208
1866,4597011000.0000,9.6625,581131206.0013,0.0549
1867,4599316000.0000,9.6627,703619682.8490,0.0664
1868,4588681000.0000,9.6617,723071198.4311,0.0684
1869,4675858000.0000,9.6699,707431698.5118,0.0657
1870,4945148000.0000,9.6942,517711113.4634,0.0455
1871,5014069000.0000,9.7002,390484846.6952,0.0338
1872,5297401300.0000,9.7241,269245688.4480,0.0221
1873,5287834000.0000,9.7233,803882291.8745,0.0660
1874,5458159600.0000,9.7370,786475822.1016,0.0626
1875,5621640000.0000,9.7499,250560190.1616,0.0194
1876,5673683000.0000,9.7539,438424395.3352,0.0336
1877,5607008000.0000,9.7487,643362176.1520,0.0498
1878,5727372300.0000,9.7580,749406679.8160,0.0568
1879,5793445400.0000,9.7629,885610913.2007,0.0664
1880,6027994000.0000,9.7802,394488383.7033,0.0284
1881,6074859000.0000,9.7835,647209723.8489,0.0463
1882,6324752000.0000,9.8010,885380047.1124,0.0608
1883,6328190000.0000,9.8013,638693337.9947,0.0438
1884,6507302400.0000,9.8134,1031009625.3536,0.0688
1885,6527370000.0000,9.8147,1030217491.9450,0.0685
1886,6471709700.0000,9.8110,438196948.9635,0.0294
1887,6688979500.0000,9.8254,304663408.0029,0.0198
1888,6707763000.0000,9.8266,864395211.0601,0.0560
1889,6833890300.0000,9.8347,1015926245.5077,0.0646
1890,7247878000.0000,9.8602,685274992.8501,0.0411
1891,7542617600.0000,9.8775,1115930351.8810,0.0643
1892,7510893600.0000,9.8757,803319690.8554,0.0464
1893,7691345400.0000,9.8860,677270971.1453,0.0382
1894,7778905600.0000,9.8909,1028465630.8552,0.0574
1895,7894431000.0000,9.8973,612592749.1094,0.0337
1896,7899118600.0000,9.8976,470579236.3265,0.0259
1897,8156441000.0000,9.9115,882033203.6814,0.0470
1898,8223389700.0000,9.9151,1082025310.1303,0.0571
1899,8505797000.0000,9.9297,421802026.3393,0.0215
1900,8691973000.0000,9.9391,1372768984.3256,0.0686
1901,8804860000.0000,9.9447,1200676859.8079,0.0592
1902,8971303000.0000,9.9529,734029834.7889,0.0355
1903,9167074000.0000,9.9622,1439944489.9018,0.0682
1904,9294472000.0000,9.9682,1094109759.2864,0.0511
1905,9621012000.0000,9.9832,705754522.1156,0.0319
1906,9775443000.0000,9.9901,1164540343.3547,0.0517
1907,10097672000.0000,10.0042,586329303.4476,0.0252
1908,10077375000.0000,10.0033,1601860942.5487,0.0690
1909,10333530000.0000,10.0142,1006947817.2982,0.0423
